"Day","Items","Note","Amount"
"88","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15869","(200)"
"88","Sales E Commerce","Revenue - E-Commerce Sales","9522"
"88","Retail","Revenue - Retail Sales New York - Mouthwash","5766"
"88","Retail","Revenue - Retail Sales New York - Body Wash","6237"
"88","Retail","Revenue - Retail Sales New York - Shampoo","20412"
"88","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","256"
"88","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","558"
"88","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","882"
"88","Retail","Revenue - Retail Sales Chicago - Mouthwash","930"
"88","Retail","Revenue - Retail Sales Chicago - Body Wash","1512"
"88","Retail","Revenue - Retail Sales Chicago - Shampoo","2340"
"88","Retail","Revenue - Retail Sales San Francisco - Mouthwash","192"
"88","Retail","Revenue - Retail Sales San Francisco - Body Wash","434"
"88","Retail","Revenue - Retail Sales San Francisco - Shampoo","882"
"88","Services","Revenue - Service Sales Order ID: 15251","424000"
"88","Rental Expense","Cash Payment - RentalNew York","(8040)"
"88","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(255)"
"88","Rental Expense","Cash Payment - RentalDetroit","(1200)"
"88","Rental Expense","Cash Payment - RentalWashington, D.C.","(2440)"
"88","Rental Expense","Cash Payment - RentalChicago","(1480)"
"88","Rental Expense","Cash Payment - RentalSan Francisco","(2240)"
"88","Rental Expense","Cash Payment - RentalMiami","(1200)"
"87","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"87","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"87","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(200)"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(200)"
"87","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(200)"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(100)"
"87","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(100)"
"87","Salary Expense","Cash Payment - Salary Expense","(25352)"
"87","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15500","(200)"
"87","Sales E Commerce","Revenue - E-Commerce Sales","9475"
"87","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15675","(200)"
"87","Sales E Commerce","Revenue - E-Commerce Sales","7560"
"87","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15684","(200)"
"87","Sales E Commerce","Revenue - E-Commerce Sales","9683"
"87","Retail","Revenue - Retail Sales New York - Mouthwash","5332"
"87","Retail","Revenue - Retail Sales New York - Body Wash","5796"
"87","Retail","Revenue - Retail Sales New York - Shampoo","16065"
"87","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","256"
"87","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","496"
"87","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","819"
"87","Retail","Revenue - Retail Sales Chicago - Mouthwash","930"
"87","Retail","Revenue - Retail Sales Chicago - Body Wash","1512"
"87","Retail","Revenue - Retail Sales Chicago - Shampoo","2015"
"87","Retail","Revenue - Retail Sales San Francisco - Mouthwash","192"
"87","Retail","Revenue - Retail Sales San Francisco - Body Wash","372"
"87","Retail","Revenue - Retail Sales San Francisco - Shampoo","693"
"87","Rental Expense","Cash Payment - RentalNew York","(8040)"
"87","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(267)"
"87","Rental Expense","Cash Payment - RentalDetroit","(1200)"
"87","Rental Expense","Cash Payment - RentalWashington, D.C.","(2440)"
"87","Rental Expense","Cash Payment - RentalChicago","(1480)"
"87","Rental Expense","Cash Payment - RentalSan Francisco","(2240)"
"87","Rental Expense","Cash Payment - RentalMiami","(1200)"
"86","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15465","(85850)"
"86","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"86","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"86","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(200)"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(200)"
"86","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(200)"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(100)"
"86","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(100)"
"86","Salary Expense","Cash Payment - Salary Expense","(25352)"
"86","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15446","(200)"
"86","Sales E Commerce","Revenue - E-Commerce Sales","7783"
"86","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 15482","(100)"
